ts,state,center_offset,res_t
2.1457672119140625e-06,Normal,-2.90705572702,20.5869998932
1.9073486328125e-06,Normal,-2.62728624249,21.0569992065
9.5367431640625e-07,Normal,-2.05205287456,12.9119997025
2.1457672119140625e-06,Normal,-1.38383597294,29.7859992981
1.1920928955078125e-06,Normal,-0.836967143919,16.5629997253
1.9073486328125e-06,Normal,-0.466690475583,22.1959991455
1.9073486328125e-06,Normal,-0.331412130134,21.9799995422
1.9073486328125e-06,Normal,0.259082998284,53.4729995728
9.5367431640625e-07,Normal,-0.205759568429,30.6940002441
1.9073486328125e-06,Normal,0.39947215172,19.218000412
1.9073486328125e-06,Normal,-0.15485799947,19.2600002289
2.1457672119140625e-06,Normal,-0.274191538892,57.6980018616
2.86102294921875e-06,Normal,0.430464865001,19.2119998932
1.9073486328125e-06,Normal,-0.25514897609,14.4280004501
1.9073486328125e-06,Normal,0.291413795144,46.313999176
1.1920928955078125e-06,Normal,-0.577090980695,20.9899997711
3.0994415283203125e-06,Normal,-0.364725924497,26.1609992981
2.86102294921875e-06,Normal,0.132593363333,15.9289999008
2.1457672119140625e-06,Normal,0.327757532331,60.5789985657
1.9073486328125e-06,Normal,-0.429382114206,12.7189998627
1.9073486328125e-06,Normal,-0.104403065089,23.1280002594
2.86102294921875e-06,Normal,0.205406913223,23.6599998474
3.0994415283203125e-06,Normal,0.544738469359,22.3490009308
2.1457672119140625e-06,Normal,0.571261761367,20.9640007019
1.9073486328125e-06,Normal,0.589358973801,28.9589996338
1.9073486328125e-06,Normal,0.636209085128,35.7050018311
9.5367431640625e-07,Normal,0.655064118999,20.75
2.1457672119140625e-06,Normal,0.381082668197,46.811000824
1.9073486328125e-06,Normal,0.308415304419,31.3460006714
1.9073486328125e-06,Normal,0.3116424233,35.9039993286
3.0994415283203125e-06,Normal,0.42212083578,24.2369995117
2.1457672119140625e-06,Normal,0.308585482484,75.9120025635
2.1457672119140625e-06,Normal,-0.0739256383131,38.4599990845
9.5367431640625e-07,Normal,-0.399405808671,24.8770008087
1.9073486328125e-06,Normal,-0.202514197033,35.3639984131
9.5367431640625e-07,Normal,-0.307148172711,19.0209999084
2.1457672119140625e-06,Normal,-0.367294160041,27.5270004272
1.9073486328125e-06,Normal,-0.448812878603,17.4249992371
1.9073486328125e-06,Normal,-0.190905735901,41.3479995728
2.1457672119140625e-06,Normal,-0.449437426123,17.4500007629
1.9073486328125e-06,Normal,-0.0739256383131,32.5509986877
2.1457672119140625e-06,Normal,-0.549190313097,16.4510002136
